age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
29.0,3,271466.0,8,11.0,4,9,1,4,1,0.0,0.0,43.0,38,0
25.0,3,32275.0,15,10.0,2,3,0,3,0,0.0,0.0,40.0,38,0
18.0,3,226956.0,11,9.0,4,7,1,4,0,0.0,0.0,30.0,38,0
47.0,3,51835.0,14,15.0,2,9,0,4,0,0.0,1902.0,60.0,15,1
50.0,0,251585.0,9,13.0,0,3,1,4,1,0.0,0.0,55.0,38,1
47.0,4,109832.0,11,9.0,0,3,1,4,1,0.0,0.0,60.0,38,0
43.0,3,237993.0,15,10.0,2,12,0,4,1,0.0,0.0,40.0,38,1
46.0,3,216666.0,4,3.0,2,6,0,4,1,0.0,0.0,40.0,25,0
35.0,3,56352.0,8,11.0,2,7,0,4,1,0.0,0.0,40.0,32,0
41.0,3,147372.0,11,9.0,2,0,0,4,1,0.0,0.0,48.0,38,0
30.0,3,188146.0,11,9.0,2,6,0,4,1,5013.0,0.0,40.0,38,0
30.0,3,59496.0,9,13.0,2,11,0,4,1,2407.0,0.0,40.0,38,0
32.0,3,293936.0,5,4.0,3,9,1,4,1,0.0,0.0,40.0,38,0
48.0,3,149640.0,11,9.0,2,13,0,4,1,0.0,0.0,40.0,38,0
42.0,3,116632.0,10,16.0,2,9,0,4,1,0.0,0.0,45.0,38,1
29.0,3,105598.0,15,10.0,0,12,1,4,1,0.0,0.0,58.0,38,0
36.0,3,155537.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0
28.0,3,183175.0,15,10.0,0,0,1,4,0,0.0,0.0,40.0,38,0
53.0,3,169846.0,11,9.0,2,0,0,4,0,0.0,0.0,40.0,38,1
49.0,4,191681.0,15,10.0,2,3,0,4,1,0.0,0.0,50.0,38,1
25.0,3,200681.0,15,10.0,4,9,1,4,1,0.0,0.0,40.0,38,0
19.0,3,101509.0,15,10.0,4,9,1,4,1,0.0,0.0,32.0,38,0
31.0,3,309974.0,9,13.0,5,11,1,2,0,0.0,0.0,40.0,38,0
29.0,5,162298.0,9,13.0,2,11,0,4,1,0.0,0.0,70.0,38,1
23.0,3,211678.0,15,10.0,4,6,1,4,1,0.0,0.0,40.0,38,0
79.0,3,124744.0,15,10.0,2,9,1,4,1,0.0,0.0,20.0,38,0
27.0,3,213921.0,11,9.0,4,7,1,4,1,0.0,0.0,40.0,25,0
40.0,3,32214.0,7,12.0,2,0,0,4,1,0.0,0.0,40.0,38,0
67.0,3,212759.0,0,6.0,2,9,0,4,1,0.0,0.0,2.0,38,0
18.0,3,309634.0,1,7.0,4,7,1,4,0,0.0,0.0,22.0,38,0
31.0,1,125927.0,5,4.0,2,4,0,4,1,0.0,0.0,40.0,38,0
18.0,3,446839.0,11,9.0,4,11,1,4,1,0.0,0.0,30.0,38,0
52.0,3,276515.0,9,13.0,2,7,0,4,1,0.0,0.0,40.0,4,0
46.0,3,51618.0,11,9.0,2,7,0,4,0,0.0,0.0,40.0,38,0
59.0,3,159937.0,11,9.0,2,11,0,4,1,0.0,0.0,48.0,38,0
44.0,3,343591.0,11,9.0,0,2,1,4,0,14344.0,0.0,40.0,38,1
53.0,3,346253.0,11,9.0,0,11,1,4,0,0.0,0.0,35.0,38,0
49.0,1,268234.0,11,9.0,2,10,0,4,1,0.0,0.0,40.0,38,1
33.0,3,202051.0,12,14.0,2,9,0,4,1,0.0,0.0,50.0,38,0
30.0,3,54334.0,6,5.0,4,11,1,4,1,0.0,0.0,40.0,38,0
43.0,0,410867.0,10,16.0,4,9,1,4,0,0.0,0.0,50.0,38,1
57.0,3,249977.0,8,11.0,2,9,0,4,1,0.0,0.0,40.0,38,0
37.0,3,286730.0,15,10.0,0,2,1,4,0,0.0,0.0,40.0,38,0
28.0,3,212563.0,15,10.0,0,6,1,2,0,0.0,0.0,25.0,38,0
30.0,3,117747.0,11,9.0,2,11,0,1,0,0.0,1573.0,35.0,38,0
34.0,1,226296.0,9,13.0,2,10,0,4,1,0.0,0.0,40.0,38,1
29.0,1,115585.0,15,10.0,4,5,1,4,1,0.0,0.0,50.0,38,0
48.0,5,191277.0,10,16.0,2,9,0,4,1,0.0,1902.0,60.0,38,1
37.0,3,202683.0,15,10.0,2,11,0,4,1,0.0,0.0,48.0,38,1
48.0,3,171095.0,7,12.0,0,3,1,4,0,0.0,0.0,40.0,8,0
32.0,0,249409.0,11,9.0,4,7,1,2,1,0.0,0.0,40.0,38,0
76.0,3,124191.0,12,14.0,2,3,0,4,1,0.0,0.0,40.0,38,1
44.0,3,198282.0,9,13.0,2,3,0,4,1,15024.0,0.0,60.0,38,1
47.0,5,149116.0,12,14.0,4,9,1,4,0,0.0,0.0,50.0,38,0
20.0,3,188300.0,15,10.0,4,12,1,4,0,0.0,0.0,40.0,38,0
29.0,3,103432.0,11,9.0,4,2,1,4,1,0.0,0.0,40.0,38,0
32.0,4,317660.0,11,9.0,2,2,0,4,1,7688.0,0.0,40.0,38,1
17.0,3,304873.0,0,6.0,4,9,1,4,0,34095.0,0.0,32.0,38,0
30.0,3,194901.0,1,7.0,4,5,1,4,1,0.0,0.0,40.0,38,0
31.0,1,189265.0,11,9.0,4,0,1,4,0,0.0,0.0,40.0,38,0
42.0,3,124692.0,11,9.0,2,5,0,4,1,0.0,0.0,40.0,38,0
24.0,3,432376.0,9,13.0,4,11,1,4,1,0.0,0.0,40.0,38,0
38.0,3,65324.0,14,15.0,2,9,0,4,1,0.0,0.0,40.0,38,1
56.0,5,335605.0,11,9.0,2,7,0,4,1,0.0,1887.0,50.0,1,1
28.0,3,377869.0,15,10.0,2,11,0,4,0,4064.0,0.0,25.0,38,0
36.0,3,102864.0,11,9.0,4,6,1,4,0,0.0,0.0,40.0,38,0
53.0,3,95647.0,6,5.0,2,5,0,4,1,0.0,0.0,50.0,38,0
56.0,4,303090.0,15,10.0,2,11,0,4,1,0.0,0.0,50.0,38,0
49.0,1,197371.0,8,11.0,2,2,0,2,1,0.0,0.0,40.0,38,1
55.0,3,247552.0,15,10.0,2,11,0,4,1,0.0,0.0,56.0,38,0
22.0,3,102632.0,11,9.0,4,2,1,4,1,0.0,0.0,41.0,38,0
21.0,3,199915.0,15,10.0,4,7,1,4,0,0.0,0.0,40.0,38,0
40.0,3,118853.0,9,13.0,2,3,0,4,1,0.0,0.0,60.0,38,0
30.0,3,77143.0,9,13.0,4,3,1,2,1,0.0,0.0,40.0,10,0
29.0,6,267989.0,9,13.0,2,9,0,4,1,0.0,0.0,50.0,38,1
19.0,3,301606.0,15,10.0,4,7,1,2,1,0.0,0.0,35.0,38,0
47.0,3,287828.0,9,13.0,2,3,0,4,0,0.0,0.0,40.0,38,1
20.0,3,111697.0,15,10.0,4,0,1,4,0,0.0,1719.0,28.0,38,0
31.0,3,114937.0,7,12.0,2,0,0,4,1,0.0,0.0,40.0,38,1
35.0,3,129305.0,11,9.0,2,9,0,4,1,0.0,0.0,40.0,38,0
39.0,3,365739.0,15,10.0,0,2,1,4,1,0.0,0.0,40.0,38,0
28.0,3,69621.0,7,12.0,4,11,1,4,0,0.0,0.0,60.0,38,0
24.0,3,43323.0,11,9.0,4,7,1,4,0,0.0,1762.0,40.0,38,0
38.0,5,120985.0,11,9.0,2,2,0,4,1,4386.0,0.0,35.0,38,0
37.0,3,254202.0,9,13.0,2,11,0,4,1,0.0,0.0,50.0,38,0
46.0,3,146195.0,7,12.0,0,12,1,2,0,0.0,0.0,36.0,38,0
38.0,0,125933.0,12,14.0,2,9,0,4,1,0.0,0.0,40.0,19,1
43.0,5,56920.0,11,9.0,2,2,0,4,1,0.0,0.0,60.0,38,0
27.0,3,163127.0,8,11.0,2,0,0,4,0,0.0,0.0,35.0,38,0
20.0,3,34310.0,15,10.0,4,11,1,4,1,0.0,0.0,20.0,38,0
49.0,3,81973.0,15,10.0,2,2,0,1,1,0.0,0.0,40.0,38,1
61.0,4,66614.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,0
27.0,3,232782.0,15,10.0,4,11,1,4,0,0.0,0.0,40.0,38,0
19.0,3,316868.0,15,10.0,4,7,1,4,1,0.0,0.0,30.0,25,0
45.0,3,196584.0,8,11.0,4,9,1,4,0,0.0,1564.0,40.0,38,1
70.0,3,105376.0,15,10.0,4,12,1,4,1,0.0,0.0,40.0,38,0
31.0,3,185814.0,11,9.0,4,13,1,2,0,0.0,0.0,30.0,38,0
22.0,3,175374.0,15,10.0,2,7,0,4,1,0.0,0.0,24.0,38,0
36.0,3,108293.0,11,9.0,6,7,1,4,0,0.0,0.0,24.0,38,0
64.0,3,181232.0,1,7.0,2,2,0,4,1,0.0,2179.0,40.0,38,0
43.0,3,174662.0,15,10.0,0,9,1,4,0,0.0,0.0,40.0,38,0
47.0,1,186009.0,15,10.0,0,0,1,4,0,0.0,0.0,38.0,25,0
34.0,3,198183.0,11,9.0,4,0,1,4,0,0.0,0.0,40.0,38,0
33.0,3,163003.0,9,13.0,4,3,1,1,0,0.0,0.0,40.0,29,0
21.0,3,296158.0,11,9.0,4,2,1,4,1,0.0,0.0,35.0,38,0
52.0,3,252903.0,11,9.0,0,9,1,4,1,0.0,0.0,45.0,38,1
48.0,3,187715.0,11,9.0,2,2,0,4,1,0.0,0.0,46.0,38,0
23.0,3,214542.0,9,13.0,4,5,1,4,1,0.0,0.0,40.0,38,0
71.0,5,494223.0,15,10.0,5,11,1,2,1,0.0,1816.0,2.0,38,0
29.0,3,191535.0,11,9.0,0,2,1,4,1,0.0,0.0,60.0,38,0
42.0,3,228456.0,9,13.0,5,7,1,2,1,0.0,0.0,50.0,38,0
68.0,3,38317.0,3,2.0,0,9,1,4,0,0.0,0.0,20.0,38,0
25.0,3,252752.0,11,9.0,4,7,1,4,0,0.0,0.0,40.0,38,0
44.0,4,78374.0,12,14.0,0,3,1,1,0,0.0,0.0,40.0,38,0
28.0,3,88419.0,11,9.0,4,3,1,1,0,0.0,0.0,40.0,8,0
45.0,5,201080.0,12,14.0,2,11,0,4,1,0.0,0.0,40.0,38,1
36.0,3,207157.0,15,10.0,0,7,1,4,0,0.0,0.0,40.0,25,0
39.0,0,235485.0,7,12.0,4,3,1,4,1,0.0,0.0,42.0,38,0
46.0,6,102628.0,12,14.0,6,10,1,4,1,0.0,0.0,40.0,38,0
18.0,3,25828.0,1,7.0,4,5,1,4,1,0.0,0.0,16.0,38,0
66.0,1,54826.0,8,11.0,6,9,1,4,0,0.0,0.0,20.0,38,0
27.0,3,124953.0,11,9.0,4,7,1,4,1,0.0,1980.0,40.0,38,0
28.0,6,175325.0,11,9.0,2,10,0,4,1,0.0,0.0,40.0,38,0
51.0,3,96062.0,15,10.0,2,11,0,4,1,0.0,1977.0,40.0,38,1
27.0,3,428030.0,9,13.0,4,2,1,4,1,0.0,0.0,50.0,38,0
28.0,6,149624.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,1
27.0,3,253814.0,11,9.0,3,11,1,4,0,0.0,0.0,25.0,38,0
21.0,3,312956.0,11,9.0,4,2,1,2,1,0.0,0.0,40.0,38,0
34.0,3,483777.0,11,9.0,4,5,1,2,1,0.0,0.0,40.0,38,0
18.0,3,183930.0,11,9.0,4,7,1,4,1,0.0,0.0,12.0,38,0
33.0,3,37274.0,9,13.0,2,9,0,4,1,0.0,0.0,65.0,38,0
44.0,1,181344.0,15,10.0,2,3,0,2,1,0.0,0.0,38.0,38,1
43.0,3,114580.0,15,10.0,0,0,1,4,0,0.0,0.0,40.0,38,0
30.0,3,633742.0,15,10.0,4,2,1,2,1,0.0,0.0,45.0,38,0
40.0,3,286370.0,5,4.0,2,6,0,4,1,0.0,0.0,40.0,25,1
37.0,0,29054.0,15,10.0,2,0,0,4,1,0.0,0.0,42.0,38,1
34.0,3,304030.0,11,9.0,2,0,0,2,1,0.0,0.0,40.0,38,0
41.0,5,143129.0,9,13.0,0,3,1,4,0,0.0,0.0,40.0,38,0
53.0,3,135105.0,9,13.0,0,9,1,4,0,0.0,0.0,50.0,38,0
31.0,3,99928.0,12,14.0,2,9,0,4,0,0.0,0.0,50.0,38,0
58.0,6,109567.0,10,16.0,2,9,0,4,1,0.0,0.0,1.0,38,1
38.0,3,155222.0,15,10.0,0,6,1,2,0,0.0,0.0,28.0,38,0
24.0,3,159567.0,15,10.0,2,6,0,4,1,0.0,0.0,40.0,38,0
41.0,1,523910.0,9,13.0,2,2,0,2,1,0.0,0.0,40.0,38,0
47.0,3,120939.0,15,10.0,2,12,0,4,1,0.0,0.0,45.0,38,0
41.0,0,130760.0,9,13.0,2,12,0,4,1,0.0,0.0,24.0,38,0
23.0,3,197387.0,4,3.0,2,13,1,4,1,0.0,0.0,40.0,25,0
36.0,3,99374.0,15,10.0,0,2,1,4,1,0.0,0.0,40.0,38,0
40.0,0,56795.0,12,14.0,4,3,1,4,0,14084.0,0.0,55.0,38,1
35.0,3,138992.0,12,14.0,2,9,1,4,1,7298.0,0.0,40.0,38,1
24.0,5,32921.0,11,9.0,4,11,1,4,1,0.0,0.0,40.0,38,0
26.0,3,397317.0,12,14.0,4,9,1,4,0,0.0,1876.0,40.0,38,0
19.0,3,170653.0,11,9.0,4,9,1,4,1,0.0,0.0,40.0,21,0
51.0,3,259323.0,9,13.0,2,3,0,4,1,0.0,0.0,50.0,38,1
42.0,1,254817.0,15,10.0,4,9,1,4,0,0.0,1340.0,40.0,38,0
37.0,6,48211.0,11,9.0,0,0,1,4,0,0.0,0.0,35.0,38,0
18.0,3,140164.0,1,7.0,4,11,1,4,0,0.0,0.0,40.0,38,0
36.0,3,128757.0,9,13.0,2,7,0,2,1,7298.0,0.0,36.0,38,1
35.0,3,36270.0,11,9.0,0,2,1,4,1,0.0,0.0,60.0,38,0
58.0,4,210563.0,11,9.0,2,11,0,4,0,15024.0,0.0,35.0,38,1
17.0,3,65368.0,1,7.0,4,11,1,4,0,0.0,0.0,12.0,38,0
44.0,1,160943.0,11,9.0,2,13,0,2,1,0.0,0.0,40.0,38,0
37.0,3,208358.0,11,9.0,2,2,0,4,1,0.0,0.0,40.0,38,1
35.0,3,153790.0,15,10.0,4,11,1,0,0,0.0,0.0,40.0,38,0
60.0,3,85815.0,11,9.0,2,2,0,1,1,0.0,0.0,40.0,38,0
54.0,4,125417.0,5,4.0,2,6,0,4,1,0.0,0.0,40.0,38,1
37.0,3,635913.0,9,13.0,4,3,1,2,1,0.0,0.0,60.0,38,1
50.0,3,313321.0,7,12.0,0,11,1,4,0,0.0,0.0,40.0,38,0
38.0,3,182609.0,9,13.0,2,11,0,4,1,0.0,0.0,50.0,30,0
45.0,3,109434.0,9,13.0,2,9,0,4,1,0.0,0.0,55.0,38,0
25.0,3,255004.0,0,6.0,4,2,1,4,1,0.0,0.0,40.0,38,0
31.0,3,197860.0,15,10.0,2,5,0,4,1,0.0,0.0,40.0,38,0
64.0,3,187656.0,3,2.0,0,9,1,4,1,0.0,0.0,40.0,38,0
90.0,3,51744.0,11,9.0,4,7,1,2,1,0.0,2206.0,40.0,38,0
54.0,3,176681.0,11,9.0,2,0,0,2,1,0.0,0.0,20.0,38,0
53.0,1,140359.0,13,1.0,4,6,1,4,0,0.0,0.0,35.0,38,0
18.0,3,243313.0,11,9.0,4,11,1,4,0,0.0,0.0,40.0,38,0
60.0,3,24215.0,0,6.0,0,9,1,0,0,0.0,0.0,10.0,38,0
66.0,5,167687.0,11,9.0,2,4,0,4,1,1409.0,0.0,50.0,38,0
75.0,3,314209.0,8,11.0,6,0,1,4,0,0.0,0.0,20.0,3,0
65.0,3,176796.0,11,9.0,0,0,1,4,0,0.0,0.0,40.0,38,0
35.0,3,538583.0,1,7.0,5,13,1,2,1,3674.0,0.0,40.0,38,0
41.0,3,130408.0,11,9.0,0,11,1,2,0,0.0,0.0,38.0,38,0
25.0,3,159732.0,15,10.0,4,0,1,4,1,0.0,0.0,42.0,38,0
33.0,3,110978.0,15,10.0,0,2,1,3,0,0.0,0.0,40.0,38,0
28.0,3,76714.0,14,15.0,4,9,1,4,1,0.0,0.0,55.0,38,1
59.0,6,268700.0,11,9.0,2,7,0,4,1,0.0,0.0,40.0,38,0
40.0,6,170525.0,15,10.0,4,0,1,4,0,0.0,0.0,38.0,38,0
41.0,3,180138.0,9,13.0,2,3,0,4,1,0.0,0.0,50.0,19,1
38.0,1,115076.0,12,14.0,2,3,0,4,1,0.0,0.0,70.0,38,1
23.0,3,115458.0,11,9.0,4,13,1,4,1,0.0,0.0,40.0,38,0
40.0,3,347890.0,9,13.0,2,9,0,4,1,0.0,0.0,40.0,38,1
41.0,5,196001.0,11,9.0,2,7,0,4,0,0.0,0.0,20.0,38,0
24.0,6,273905.0,7,12.0,2,10,0,4,1,0.0,0.0,50.0,38,0
20.0,3,119156.0,15,10.0,4,9,1,4,1,0.0,0.0,20.0,38,0
38.0,3,179488.0,15,10.0,0,2,1,4,1,0.0,1741.0,40.0,38,0
56.0,3,203580.0,11,9.0,2,0,0,4,1,0.0,0.0,35.0,38,0
58.0,3,236596.0,11,9.0,2,0,0,4,1,0.0,0.0,45.0,38,1
32.0,3,183916.0,11,9.0,4,7,1,4,0,0.0,0.0,34.0,38,0
40.0,3,207578.0,7,12.0,2,12,0,4,1,0.0,1977.0,60.0,38,1
45.0,3,153141.0,11,9.0,2,0,0,4,1,0.0,0.0,40.0,38,0
41.0,3,112763.0,14,15.0,2,9,0,4,0,0.0,0.0,40.0,38,1
42.0,3,390781.0,9,13.0,2,0,0,2,0,0.0,0.0,40.0,38,0
59.0,1,171328.0,0,6.0,6,7,1,2,0,0.0,0.0,30.0,38,0
19.0,1,27382.0,15,10.0,4,0,1,4,1,0.0,0.0,40.0,38,0
58.0,3,259014.0,15,10.0,4,13,1,4,1,0.0,0.0,20.0,38,0
42.0,5,303044.0,11,9.0,2,4,0,1,1,0.0,0.0,40.0,0,1
20.0,3,117789.0,11,9.0,4,7,1,4,0,0.0,0.0,40.0,38,0
32.0,3,172579.0,11,9.0,5,7,1,4,0,0.0,0.0,30.0,38,0
45.0,3,187666.0,8,11.0,6,3,1,4,0,0.0,0.0,45.0,38,0
50.0,3,204518.0,5,4.0,0,2,1,4,1,0.0,0.0,40.0,38,0
36.0,3,150042.0,9,13.0,0,9,1,4,0,0.0,0.0,40.0,38,0
45.0,3,98092.0,11,9.0,2,11,0,4,1,0.0,0.0,60.0,38,0
17.0,3,245918.0,1,7.0,4,7,1,4,1,0.0,0.0,12.0,38,0
59.0,3,146013.0,15,10.0,2,11,0,4,1,4064.0,0.0,40.0,38,0
26.0,3,378322.0,1,7.0,2,2,0,4,1,0.0,0.0,40.0,38,0
37.0,4,257295.0,15,10.0,2,3,0,1,1,0.0,0.0,75.0,36,1
19.0,3,218956.0,15,10.0,4,9,1,4,1,0.0,0.0,24.0,1,0
64.0,3,21174.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,38,1
33.0,3,185480.0,9,13.0,4,9,1,4,0,0.0,0.0,45.0,38,0
33.0,3,222205.0,11,9.0,2,2,0,4,0,0.0,0.0,40.0,38,1
61.0,3,69867.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,38,1
17.0,3,191260.0,6,5.0,4,7,1,4,1,1055.0,0.0,24.0,38,0
50.0,5,30653.0,12,14.0,2,4,0,4,1,2407.0,0.0,98.0,38,0
27.0,1,209109.0,12,14.0,4,9,1,4,1,0.0,0.0,35.0,38,0
30.0,3,70377.0,11,9.0,0,9,1,4,0,0.0,0.0,40.0,38,0
43.0,3,477983.0,11,9.0,2,5,0,2,1,0.0,0.0,40.0,38,0
44.0,3,170924.0,15,10.0,2,2,0,4,1,7298.0,0.0,40.0,38,1
35.0,3,190174.0,15,10.0,4,3,1,4,0,0.0,0.0,40.0,38,0
25.0,3,193787.0,15,10.0,4,12,1,4,0,0.0,0.0,40.0,38,0
24.0,3,279472.0,15,10.0,2,6,0,4,0,7298.0,0.0,48.0,38,1
22.0,3,34918.0,9,13.0,4,9,1,4,0,0.0,0.0,15.0,10,0
42.0,1,97688.0,15,10.0,2,2,0,4,1,5178.0,0.0,40.0,38,1
34.0,3,175413.0,7,12.0,0,11,1,2,0,0.0,0.0,45.0,38,0
60.0,3,173960.0,9,13.0,0,9,1,4,0,0.0,0.0,42.0,38,0
21.0,3,205759.0,11,9.0,4,5,1,4,1,0.0,0.0,40.0,38,0
57.0,0,425161.0,12,14.0,2,11,0,4,1,15024.0,0.0,40.0,38,1
41.0,3,220531.0,14,15.0,2,9,0,4,1,0.0,0.0,60.0,38,1
50.0,3,176609.0,15,10.0,0,7,1,4,1,0.0,0.0,45.0,38,0
25.0,3,371987.0,9,13.0,4,3,1,4,0,0.0,0.0,40.0,38,0
50.0,3,193884.0,5,4.0,2,2,0,4,1,0.0,0.0,40.0,6,0
36.0,3,200352.0,9,13.0,2,9,0,4,1,0.0,0.0,45.0,38,0
31.0,3,127595.0,11,9.0,0,9,1,4,0,0.0,0.0,40.0,38,0
29.0,1,220419.0,9,13.0,4,10,1,4,1,0.0,0.0,56.0,38,0
21.0,3,231931.0,15,10.0,4,11,1,4,1,0.0,0.0,45.0,38,0
27.0,3,248402.0,9,13.0,4,12,1,2,0,0.0,0.0,40.0,38,0
65.0,3,111095.0,11,9.0,2,13,0,4,1,0.0,0.0,16.0,38,0
37.0,4,57424.0,9,13.0,0,11,1,4,0,0.0,0.0,60.0,38,0
39.0,3,157443.0,12,14.0,2,9,0,1,0,3464.0,0.0,40.0,38,0
24.0,3,278130.0,11,9.0,4,2,1,4,1,0.0,0.0,40.0,38,0
38.0,3,169469.0,11,9.0,0,11,1,4,1,0.0,0.0,80.0,38,0
48.0,3,146268.0,9,13.0,2,0,0,4,1,7688.0,0.0,40.0,38,1
21.0,3,153718.0,15,10.0,4,7,1,1,0,0.0,0.0,25.0,38,0
31.0,3,217460.0,11,9.0,2,13,0,4,1,0.0,0.0,45.0,38,1
55.0,3,238638.0,11,9.0,2,11,0,4,1,4386.0,0.0,40.0,38,1
24.0,3,303296.0,15,10.0,2,0,0,1,0,0.0,0.0,40.0,24,0
43.0,3,173321.0,11,9.0,0,0,1,4,0,0.0,0.0,40.0,38,0
26.0,3,193945.0,7,12.0,4,12,1,4,1,0.0,0.0,45.0,38,0
46.0,3,83082.0,7,12.0,4,9,1,4,0,0.0,0.0,33.0,38,0
35.0,3,193815.0,7,12.0,2,0,0,4,1,0.0,0.0,40.0,38,1
41.0,4,34987.0,15,10.0,2,4,0,4,1,0.0,0.0,54.0,38,1
26.0,3,59306.0,9,13.0,4,11,1,4,1,0.0,0.0,40.0,38,0
34.0,3,142897.0,12,14.0,2,3,0,1,1,7298.0,0.0,35.0,35,1
19.0,3,860348.0,15,10.0,4,9,1,2,0,0.0,0.0,25.0,38,0
36.0,5,205607.0,9,13.0,0,9,1,2,0,0.0,0.0,40.0,38,1
22.0,3,199698.0,15,10.0,4,11,1,4,1,0.0,0.0,15.0,38,0
24.0,3,191954.0,15,10.0,4,6,1,4,1,0.0,0.0,40.0,38,0
77.0,5,138714.0,15,10.0,2,11,0,4,1,0.0,0.0,40.0,38,0
22.0,3,399087.0,4,3.0,2,6,1,4,0,0.0,0.0,40.0,25,0
29.0,3,423158.0,15,10.0,4,12,1,4,0,0.0,0.0,40.0,38,0
62.0,3,159841.0,11,9.0,6,7,1,4,0,0.0,0.0,24.0,38,0
39.0,5,174308.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,38,0
